,scheme_code,annualized_median_return,top_25_percentile,bottom_25_percentile,bottom_5_percentile,top_5_percentile,scheme_name,annualized_mean_std
5050,149004,6.15,6.58,5.72,5.1,7.16,Tata Floating Rate Fund-Regular Plan-IDCW Monthly Payout,0.5918999658630508
5051,149005,6.15,6.57,5.73,5.11,7.15,Tata Floating Rate Fund-Regular Plan-IDCW Quarterly Payout,0.5918999658630508
5052,149006,6.15,6.57,5.71,5.07,7.16,Tata Floating Rate Fund-Regular Plan-IDCW Periodic Payout,0.5918999658630508
5053,149007,6.64,7.06,6.22,5.57,7.64,Tata Floating Rate Fund -Direct Plan-Growth,0.5981432423282866
5054,149008,14.0,26.02,2.78,-10.67,45.63,Nippon India Nifty Pharma ETF,14.975429950124035
5055,149009,1.63,3.54,-0.44,-3.65,5.8,Invesco India Medium Duration Fund - Regular - Quarterly IDCW (Payout / Reinvestment),2.868657856367523
5056,149010,5.25,6.23,4.23,2.65,7.58,Invesco India Medium Duration Fund - Regular - Discretionary IDCW(Payout / Reinvestment)),1.4185529869363547
5057,149011,6.2,7.17,5.16,3.64,8.54,Invesco India Medium Duration Fund - Direct - Growth,1.4198534625744859
5058,149012,5.27,6.23,4.23,2.62,7.64,Invesco India Medium Duration Fund - Regular - Growth,1.4185486363595943
5059,149013,6.22,7.19,5.16,3.62,8.61,Invesco India Medium Duration Fund - Direct - Discretionary IDCW (Payout/Reinvestment),1.4197989735048275
5060,149014,2.06,4.06,-0.2,-3.8,6.52,Invesco India Medium Duration Fund - Direct - Quarterly IDCW (Payout / Reinvestment)),3.068835520211764
5061,149015,6.27,7.4,5.15,3.37,8.93,Aditya Birla Sun Life Fixed Term Plan - Series TI (1837 days) - Regular Plan - Growth Option,1.5981236096361862
5062,149016,6.28,7.39,5.14,3.33,8.94,Aditya Birla Sun Life Fixed Term Plan - Series TI (1837 days) - Regular Plan - Payout of IDCW option,1.5983258669890767
5063,149017,6.39,7.54,5.25,3.49,9.06,Aditya Birla Sun Life Fixed Term Plan - Series TI (1837 days) - Direct Plan - Growth Option,1.5981688955342865
5064,149018,6.42,7.55,5.26,3.46,9.14,Aditya Birla Sun Life Fixed Term Plan - Series TI (1837 days) - Direct Plan - Payout of IDCW option,1.598118034242373
5065,149019,18.11,31.39,6.12,-9.47,52.39,PGIM India Small Cap Fund - Direct Plan- Growth Option,15.67370938538709
5066,149020,15.94,28.86,3.95,-11.61,49.32,PGIM India Small Cap Fund - Regular Plan - Growth Option,15.720156632295463
5067,149021,5.89,6.85,4.94,3.61,8.27,ITI Dynamic Bond Fund - Regular Plan - Growth Option,1.337193908747278
5068,149022,0.1,1.58,-1.52,-3.76,3.65,ITI Dynamic Bond Fund - Regular Plan - Monthly IDCW Option,2.2784046964759463
5069,149023,0.47,2.11,-1.16,-3.75,4.34,ITI Dynamic Bond Fund - Direct Plan - Monthly IDCWOption,2.414181270484226
5070,149024,5.88,6.83,4.95,3.6,8.24,ITI Dynamic Bond Fund - Regular Plan - Quarterly IDCW Option,1.337008716231678
5071,149025,7.08,8.09,6.14,4.74,9.53,ITI Dynamic Bond Fund - Direct Plan - Quarterly IDCW Option,1.3453323236782464
5072,149026,5.87,6.82,4.94,3.58,8.25,ITI Dynamic Bond Fund - Regular Plan - Half Yearly IDCW Option,1.337005065684937
5073,149027,5.9,6.84,4.95,3.55,8.26,ITI Dynamic Bond Fund - Regular Plan - Annually IDCWOption,1.3368465348505383
5075,149029,7.11,8.08,6.13,4.67,9.46,ITI Dynamic Bond Fund - Direct Plan - Growth Option,1.344072726749675
5076,149030,7.12,8.05,6.13,4.77,9.5,ITI Dynamic Bond Fund - Direct Plan - Annually IDCW Option,1.3440871503874594
5077,149031,15.61,28.89,3.63,-11.49,49.44,PGIM India Small Cap Fund - Direct Plan - IDCW Option,15.909179401266305
5078,149032,14.79,27.3,3.11,-11.67,48.09,PGIM India Small Cap Fund - Regular Plan - IDCW Option,15.781684484250258
